id;name;path;url;createdOn;environmentsCount;environments;;;;;;;;;;;;;;;;;;;
102;Proc-Assign-Item-SerialNumber-Order-LineItem-K8s-CD;\TMS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/102;2023-06-09T19:51:35.907Z;3;Desarrollo/Tester/Producción;;;;;;;;;;;;;;;;;;;
104;legacy-wms-entradasct-CD;\WMS\Legacy;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/104;2023-06-12T19:42:34.987Z;36;Desarrollo/Tester/Control-Produccion/01-Culiacan/02-Leon/03-Hermosillo/04-Laguna/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Puebla I/10-Villahermosa/11-Iztapalapa/12-Mexicali Imp./13-Mexicali/14-Izcalli/15-Ixtapaluca/16-Tecamac/17-Merida/18-Los Mochis/19-Veracruz/20-Guadalajara II/21-Tecamac Imp./22-Toluca/23-Guadalupe/24-Texcoco/25-Tijuana/30-Tecamac II/31-Puebla II/81-La Paz/82-Nogales/83-Tapachula/84-Cancun/85-Nvo. Laredo/86-Cd. Juarez/SCM Inspection;;;;;;;;;;;;;;;;;;;
107;PROC-OUTBOUNDBINDSERIESORDER-17028-RH8-CD;\WMS\Salida de Mercancias;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/107;2023-06-14T16:13:39.547Z;28;Desarrollo/Tester/Produccion/01-Cualican/02-Leon/03-Laguna/04-Mexicali/05-Nogales/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Nuevo Laredo/10-Juarez/11-Hermosillo/12-Guadalupe/13-Villa Hermosa/14- La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-Los Mochis/20-Tecamac/21-Veracruz/22-Texcoco/23-Merida/24-Tlaquepaque/25-Toluca;;;;;;;;;;;;;;;;;;;
112;Server_170_MongoDB-pto;\UtilitiesBox\DataBases;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/112;2023-06-16T18:52:53.42Z;2;Pto6050/Pto6051;;;;;;;;;;;;;;;;;;;
113;PROC-VALIDATEITEMMOTOCYCLE-17031-RH8-CD;\WMS\Salida de Mercancias;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/113;2023-06-16T21:38:50.697Z;28;Desarrollo/Tester/Produccion/01-Cualican/02-Leon/03-Laguna/04-Mexicali/05-Nogales/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Nuevo Laredo/10-Juarez/11-Hermosillo/12-Guadalupe/13-Villa Hermosa/14- La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-Los Mochis/20-Tecamac/21-Veracruz/22-Texcoco/23-Merida/24-Tlaquepaque/25-Toluca;;;;;;;;;;;;;;;;;;;
116;sys-carriersmetrics-K8s-CD;\TMS\SYS;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/116;2023-06-19T17:14:56.71Z;3;develop/QA/Producción;;;;;;;;;;;;;;;;;;;
129;Server_170_SQL2019-pto6022;\UtilitiesBox\DataBases;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/129;2023-06-21T16:47:11.68Z;1;Stage 1;;;;;;;;;;;;;;;;;;;
130;Server_170_Postgres_14.1;\UtilitiesBox\DataBases;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/130;2023-06-21T16:56:25.073Z;5;Dev01-6020/Dev01-6021/Dev01-6023/Dev-TMSCore-6024/Dev-TMSLegacy-6025;;;;;;;;;;;;;;;;;;;
133;Pdm-Sys-Item-information-K8s-CD;\PDM;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/133;2023-06-21T19:48:32.403Z;3;Desarrollo/Tester/Producción;;;;;;;;;;;;;;;;;;;
138;angularNombreComponente-17xxx-RH8-CD-Regional;\UtilitiesBox\Templates;https://vsrm.dev.azure.com/Coppel-Retail/8037bb73-6c0e-47ab-b38b-11377c9aecce/_apis/Release/definitions/138;2023-06-23T05:45:55.47Z;28;Desarrollo 110/Tester 27/Control produccion/01-Culiacan/02-Leon/03-Laguna/04-Mexicali/05-Nogales/06-Monterrey/07-Guadalajara/08-Azcapotzalco/09-Nuevo Laredo/10-Juarez/11-Hermosillo/12-Guadalupe/13-Villa Hermosa/14-La Paz/15-Iztapalapa/16-Izcalli/17-Cancun/18-Ixtapaluca/19-Los Mochis/20-Tecamac/21-Veracruz/22-Texcoco/23-Merida/24-Tlaquepaque/25-Toluca;;;;;;;;;;;;;;;;;;;
